eps,min_samples,median_home_accuracy,mean_home_accuracy,median_work_accuracy,mean_work_accuracy,home_centroid_mean_distance,work_centroid_mean_distance,mean_home_sensitivity,median_home_sensitivity,mean_work_sensitivity,median_work_sensitivity,mean_home_specificity,median_home_specificity,mean_work_specificity,median_work_specificity,mean_home_balanced_accuracy,median_home_balanced_accuracy,mean_work_balanced_accuracy,median_work_balanced_accuracy,mean_home_f1,median_home_f1,mean_work_f1,median_work_f1
950,4,0.9863636363636363,0.9494545454545457,0.9840909090909091,0.951590909090909,-2.9380689221452085,-32.73710792955882,0.8928999999999999,0.97,0.9679000000000001,0.97,0.9965833333333333,1.0,0.938,0.9958333333333333,0.9447416666666668,0.985,0.95295,0.9829166666666667,0.9041333684773407,0.9847715736040609,0.9580476584448193,0.9822847767010203
950,5,0.9818181818181818,0.9466818181818182,0.9818181818181818,0.9495909090909092,1.511359284958969,-35.94761924128947,0.8864000000000002,0.96,0.9628000000000001,0.97,0.9969166666666667,1.0,0.9385833333333333,1.0,0.9416583333333334,0.98,0.9506916666666666,0.98,0.900921710623023,0.9795918367346939,0.9555764996336811,0.9795918367346939
900,4,0.9818181818181818,0.9465454545454547,0.9818181818181818,0.9489545454545454,18.6371750275508,-33.97259136612735,0.8865,0.96,0.9617999999999999,0.97,0.9965833333333333,1.0,0.93825,0.9958333333333333,0.9415416666666668,0.98,0.9500249999999998,0.98,0.9009235928920863,0.9795918367346939,0.9549762773708993,0.9795918367346939
950,6,0.9818181818181818,0.9446818181818181,0.9772727272727273,0.9471818181818182,4.480328919409556,-36.66901398690729,0.8818999999999998,0.96,0.9569999999999999,0.96,0.997,1.0,0.939,1.0,0.9394500000000001,0.98,0.948,0.9758333333333333,0.8986044783671905,0.9795918367346939,0.9527811403890726,0.9746192893401014
900,5,0.9818181818181818,0.9435000000000001,0.9772727272727273,0.9466818181818182,6.547568884595347,-38.70084267026401,0.8794,0.96,0.9558,0.96,0.9969166666666667,1.0,0.9390833333333333,1.0,0.9381583333333333,0.98,0.9474416666666666,0.9754166666666666,0.8972266309711026,0.9795918367346939,0.9521370011022134,0.9744891318495379
850,4,0.9772727272727273,0.9429090909090908,0.9772727272727273,0.9455454545454545,10.248429492716664,-37.019068365934395,0.8778999999999999,0.96,0.9531000000000001,0.96,0.9970833333333333,1.0,0.9392499999999999,1.0,0.9374916666666665,0.9758333333333333,0.9461750000000001,0.975,0.8965364125143698,0.9746192893401014,0.9508256864589986,0.9743589743589743
800,4,0.9727272727272728,0.9394090909090909,0.9681818181818181,0.940090909090909,11.979733798669585,-42.56013965401351,0.8702,0.95,0.9405999999999999,0.94,0.9970833333333333,1.0,0.9396666666666665,1.0,0.9336416666666668,0.97125,0.9401333333333334,0.9658333333333333,0.892441136181193,0.9695423623995052,0.9444475662431774,0.964102564102564
850,5,0.9750000000000001,0.9392272727272725,0.9727272727272728,0.9424090909090909,11.586330879560814,-38.86888172148259,0.8696,0.95,0.9452000000000002,0.95,0.9972500000000001,1.0,0.9400833333333333,1.0,0.9334249999999998,0.9733333333333334,0.9426416666666665,0.97,0.8921883096108607,0.9720279720279721,0.9470019200502752,0.9690721649484536
800,5,0.9681818181818181,0.9389545454545454,0.9681818181818181,0.9404999999999998,40.88503128986707,-71.81288703078464,0.8694000000000002,0.93,0.9307999999999998,0.94,0.9969166666666668,1.0,0.9485833333333332,1.0,0.9331583333333332,0.9650000000000001,0.9396916666666667,0.9650000000000001,0.8965522663395926,0.9637305699481865,0.9426965957129095,0.9637305699481865
750,4,0.9681818181818181,0.9376818181818183,0.9636363636363636,0.9339090909090909,36.990488781262044,-57.00880740125525,0.8762000000000001,0.935,0.9067000000000001,0.93,0.9889166666666667,1.0,0.9565833333333333,1.0,0.9325583333333332,0.9650000000000001,0.9316416666666665,0.9608333333333334,0.9015575370996038,0.9637305699481865,0.9244646710476527,0.9587628865979382
950,7,0.9772727272727273,0.9373181818181817,0.9727272727272728,0.944590909090909,7.3316177750605265,-40.386838364094,0.8654999999999999,0.95,0.9511,0.95,0.9971666666666665,1.0,0.9391666666666667,1.0,0.9313333333333332,0.975,0.9451333333333332,0.9708333333333333,0.8852985380896073,0.9743589743589743,0.949750194681308,0.9693877551020408
